"","IGF2R"
"SOX17",0.557917747669838
"RNH1",0.557882611892819
"PSKH1",0.557816105572393
"RNPEPL1",0.557581010696133
"GCOM1",0.557569456517343
"CCBE1",0.557491530861354
"LEPROT",0.557183358208376
"BAG6",0.557148702882878
"STX11",0.557087948782395
"ROBO4",0.557076967425771
"TNFSF10",0.557073916506371
"SETD7",0.556788446371832
"FMC1-LUC7L2",0.556756502875235
"DHRSX",0.556671077880907
"SEC24B",0.556612389889158
"ZDHHC3",0.556270730294069
"DDB2",0.556124043624051
"LACTB",0.556073421748884
"ZNF787",0.556038626701776
"SGF29",0.555846466823871
"HDHD5",0.55571302012463
"KLF2",0.555550234572248
"SYPL2",0.555456789546052
"HSPB1",0.555152640712247
"NCOA4",0.554963146715866
"FCGR2B",0.554810812251761
"F10",0.55479221779134
"PA2G4",0.554781705802306
"POLR1E",0.554773635798127
"SNX17",0.554749617543914
"LRRC2",0.554671638256951
"TAF8",0.554517283784387
"NSMCE4A",0.554413361984941
"RPLP1",0.554192002815185
"SNX2",0.55417837812934
"RPS29",0.554143970920332
"SLC26A6",0.554063161748601
"C14orf28",0.553860220707038
"SHC1",0.553567588182094
"TRIAP1",0.553511394596259
"HDAC6",0.553473623522629
"TXNRD3",0.553433286226989
"IL13RA1",0.553199164789362
"DDIT4",0.553183333023269
"RPL8",0.553087269233563
"CELF1",0.553044321494834
"VARS1",0.552961527575222
"CD248",0.5528736589518
"HNRNPA0",0.552838302223086
"EEF1G",0.552654982179885
"ACSF2",0.552633487944436
"MRM1",0.552573421689257
"ZXDC",0.552371114845042
"MOGS",0.55233633777086
"KLF8",0.552280049945726
"MIDEAS",0.552151674410873
"TSPO",0.552094351626496
"GTPBP2",0.552022298594135
"SHE",0.551867427038426
"FBN1",0.551811109387874
"FNIP2",0.551808623686611
"MPG",0.551768872317926
"ENPP1",0.551604015860671
"HECA",0.551055705113137
"HAUS4",0.550957177369414
"EIF2AK3",0.550863540619832
"SNAI2",0.550719417249854
"RPL7",0.550541578806348
"KCNJ8",0.550463569149898
"CALCOCO2",0.550389096527288
"DHX29",0.550377168751355
"DAXX",0.550308653357339
"ZYX",0.550301419332083
"PHETA2",0.550204180313069
"VEGFC",0.550118903208276
"DNAJC21",0.550110502546363
"SDE2",0.550098530945508
"ABRAXAS2",0.549914714295779
"TRIM63",0.549893814204266
"FRMD8",0.549542409728362
"ARL5A",0.549443954674573
"RALGAPA2",0.54937426579672
"GMPPB",0.549177382566636
"RCC1L",0.549171271351992
"NAGLU",0.549118514613185
"CYP4B1",0.54899422956339
"HMG20B",0.548956526276196
"NEK9",0.548937200024512
"ADAMTS5",0.548779338462256
"PMPCB",0.548371611621184
"SMAD4",0.54807785731369
"WNT9A",0.548034432625829
"IRAK1",0.547985029493126
"WTAP",0.547952451601804
"TPRG1",0.547742789146861
"UTP11",0.547708888103958
"BCAM",0.547707697010015
"NSUN2",0.547594460269766
"WDR4",0.54758645168946
"LIFR",0.547528715535972
"ADAMTS9",0.547478921102493
"SOX13",0.547360599867547
"HYCC1",0.547337065043705
"ECHDC2",0.547172989301153
"EMD",0.547109554775066
"SPSB3",0.54702662168378
"NFYC",0.546869383767702
"CLUH",0.546808219814151
"ABCE1",0.546725281163283
"PTEN",0.54669037419943
"FST",0.546454652791282
"ELANE",0.546383938556234
"EIF4EBP3",0.546306091360172
"SERPINF1",0.545799525803602
"APBA3",0.545773379292205
"MCCC1",0.545620526262801
"RWDD4",0.545362831998983
"ETS1",0.545347558144185
"MARCO",0.545319143982273
"FCHO2",0.545286425384227
"EXOSC7",0.545181593600164
"EMP2",0.545175096178023
"RIGI",0.544731493598151
"MEF2A",0.544622716124627
"RPL11",0.544585623844563
"HIBADH",0.544528783228603
"CLEC2B",0.544024412002077
"RBM8A",0.543987331679334
"DHRS4L2",0.543939297477861
"RRS1",0.543895471460154
"FBXW2",0.543890450663926
"LOX",0.543831833244267
"BACH1",0.543746697403674
"SMARCAL1",0.543488244313831
"RNASE4",0.543445906445652
"NOP53",0.543421889921592
"HLA-C",0.543410921261661
"COL6A6",0.543322613007285
"GALNT1",0.543205741205045
"HSD17B10",0.543205741205045
"KANK2",0.543205741205045
"PTPRB",0.543137825691013
"YME1L1",0.542965575964438
"CAVIN1",0.542856475629851
"SMTN",0.542834510843987
"LRRC41",0.542714425340305
"POLD4",0.542559333677406
"MED15",0.5425243261498
"MAN2C1",0.542138014922632
"RPL13A",0.541991901522495
"FOXJ2",0.541803778523428
"RBPMS",0.541764749761403
"SYNGR2",0.541620650617039
"EIF3H",0.541559614468817
"C1QTNF1",0.541476551472674
"TSPAN4",0.541441519001276
"ECSCR",0.541266336087857
"AAR2",0.54126237909491
"CHD1",0.541249164041465
"PIGY",0.541218296118381
"MMP2",0.541188353183946
"MYLIP",0.541061181333308
"GPN2",0.541041101311547
"INSR",0.541017079595909
"XRRA1",0.541000703158155
